id,trigger,conditions,script,text,options,notes,
,,,,,,,
vulp_interrogationProperStart,DialogOptionSelected,$option == vulp_interrogationProperStart,ShowPersonVisual,"""Right, let's see if I can answer any questions off the bat.""

Her ears flick as she takes a moment to think, and you can see in her body language that she's already adjusting to the realizations.",vulp_interrogationName:Continue,,
vulp_interrogationName,DialogOptionSelected,$option == vulp_interrogationName,SetVulpoidExpression default,"""Oh, well to start off with, I haven't told you who I am yet! My Exodyne Biotech asset code is V/P-RLR-001. A bit of a mouthful for most humans, but it's really not that difficult to remember.""

She sticks her tongue out, telling you that she's aware that the code is not, in fact, easy to remember.","vulp_interrogationNameRemember:""I'll do my best to remember it.""
vulp_interrogationNameLaisa:""Nobody ever gave you a nickname?""
vulp_interrogationNameFluffy:""How about I just call you 'Fluffy'?""",,
vulp_interrogationNameRemember,DialogOptionSelected,$option == vulp_interrogationNameRemember,"AdjustRepActivePerson COOPERATIVE 5
SetVulpoidExpression blush","She completely fails to hold a neutral expression, a blush rushing across her face as she squirms to stop her tail from wagging.

""Well... naturally! It's only polite to remember someone's name.""",vulp_interrogationNameLaisa:Continue,,
vulp_interrogationNameFluffy,DialogOptionSelected,$option == vulp_interrogationNameFluffy,"$player.ethosSarcastic++
SetImportantVulpoidName laisa ""Fluffy""
SetVulpoidExpression bruh
AdjustRepPerson laisa COOPERATIVE 1
$saidFluffy = true 0","""Ah, yes. Because why would you use a name that conveys meaningful information, when you could use a name - for pets! - that conveys something that you can see. With your eyes. Which you have.""

Despite her response, she's having to fidget as her tail moves on its own. She might like the idea of being given a name, even if your choice is questionable.",vulp_interrogationNameLaisa:Continue,,
vulp_interrogationNameLaisa,DialogOptionSelected,$option == vulp_interrogationNameLaisa,"Highlight ""Laisa""
SetImportantVulpoidName laisa ""Laisa""
SetVulpoidExpression default
FireAll VulpInterrogationNameOptions","""If you'd prefer a more 'human' name, the research staff did sometimes refer to me as 'Laisa'. Less formal, but that does make it easier to pronounce. You're welcome to use that.""",,,
vulp_interrogationNameAgreeLaisaOption,VulpInterrogationNameOptions,,,,"vulp_interrogationNameAgreeLaisa:""Laisa it is.""",,
vulp_interrogationNameInsistCodeOption,VulpInterrogationNameOptions,,,,"vulp_interrogationNameInsistCode:""I can use V/P-RLR-001, if you'd prefer it.""",,
vulp_interrogationNameFluffy2Option,VulpInterrogationNameOptions,$saidFluffy,,,"vulp_interrogationNameFluffy2:""Heh, Fluffy.""",,
vulp_interrogationNameAgreeLaisa,DialogOptionSelected,$option == vulp_interrogationNameAgreeLaisa,"AdjustRepActivePerson COOPERATIVE 5
SetImportantVulpoidName laisa ""Laisa""
$option = vulp_interrogationHub
FireBest DialogOptionSelected ",,,,
vulp_interrogationNameFluffy2,DialogOptionSelected,$option == vulp_interrogationNameFluffy2,"AdjustRepActivePerson VENGEFUL -5
SetVulpoidExpression angry
$player.ethosSarcastic++
$saidFluffy2 = true 0
SetImportantVulpoidName laisa ""Fluffy""","She only scowls now, and her tail remains motionless. Apparently it's not as funny the second time.",vulp_interrogationHub:Continue,,
vulp_interrogationNameInsistCode,DialogOptionSelected,$option == vulp_interrogationNameInsistCode,"SetImportantVulpoidName laisa ""V/P-RLR-001""
SetVulpoidExpression fear","Your offer appears to catch her off guard.

""Oh, um, you really don't need to. I know it's a mouthful for humans, Laisa really is fine.""","vulp_interrogationNameAgreeLaisa:""Alright then, Laisa.""
vulp_interrogationNameInsistCode2:""I wouldn't want to make you uncomfortable, V/P-RLR-001.""",,
vulp_interrogationNameInsistCode2,DialogOptionSelected,$option == vulp_interrogationNameInsistCode2,"AdjustRepActivePerson COOPERATIVE 10
SetVulpoidExpression default
SetImportantVulpoidName laisa ""Laisa""","She stares you down for a moment, deliberating if you're doing this on purpose or not. Then, she laughs.

""Okay, okay, you've called my bluff! You're sharper than you look. But really, I do prefer Laisa.""",vulp_interrogationHub:Continue,,
,,,,,,,
,,,,,,,
,,,,,,,
vulp_interrogationHub,DialogOptionSelected,$option == vulp_interrogationHub,"FireAll VulpInterrogationHubOptions
SetVulpoidExpression laisa default","""Now it's your turn for questions. Ask away.""",,,
vulp_interrogationHubWhatAreYouOption,VulpInterrogationHubOptions,!$askedWhatAreYou,,,"vulp_interrogationHubWhatAreYou:""What exactly are you?""",,
vulp_interrogationHubVulpoidsOption,VulpInterrogationHubOptions,"$askedWhatAreYou
!$askedVulpoids",,,"vulp_interrogationHubVulpoids:""What are Vulpoids?""",,
vulp_interrogationHubProfectoOption,VulpInterrogationHubOptions,"$askedWhatAreYou
!$askedProfecto",,,"vulp_interrogationHubProfecto:""What is a Profecto Vulpoid?""",,
vulp_interrogationHubHelpfulOption,VulpInterrogationHubOptions,"$askedVulpoids
$askedProfecto
!$askedHelpful",,,"vulp_interrogationHubHelpful:""Do Profecto Vulpoids also like humans?""",,
vulp_interrogationHubFemaleOption,VulpInterrogationHubOptions,"$askedWhatAreYou
!$askedFemale",,,"vulp_interrogationHubFemale:""Why are all of you female?""",,
vulp_interrogationHubSawAdOption,VulpInterrogationHubOptions,"$player.sawVulpoidAdvertisement
!$askedSawAd",,,"vulp_interrogationHubSawAd:""I came across some advertisements, was that you in them?""",,
vulp_interrogationHubShipOption,VulpInterrogationHubOptions,!$askedShip,,,"vulp_interrogationHubShip:""Can you tell me a bit about this ship?""",,
vulp_interrogationHubResearchOption,VulpInterrogationHubOptions,"$askedShip
!$askedResearch",,,"vulp_interrogationHubResearch:""What were they researching?""",,
vulp_interrogationHubSlaveOption,VulpInterrogationHubOptions,"$askedResearch
!$askedSlave",,,"vulp_interrogationHubSlave:""You don't seem to think 'slave species' is accurate?""",,
vulp_interrogationHubYouSlaveOption,VulpInterrogationHubOptions,"$askedSlave
!$askedYouSlave",,,"vulp_interrogationHubYouSlave:""What about you, are you a slave?""",,
vulp_interrogationHubAbandonedOption,VulpInterrogationHubOptions,!$askedAbandoned,,,"vulp_interrogationHubAbandoned:""Why aren't there any humans aboard?""",,
vulp_interrogationHubAgeOption,VulpInterrogationHubOptions,"$askedAbandoned
!$askedAge",,,"vulp_interrogationHubAge:""You were put in command 200 cycles ago?""",,
vulp_interrogationHubEndOption,VulpInterrogationHubOptions,,,,"vulp_interrogationWrapup:""Let's move on.""",,
vulp_interrogationHubWhatAreYou,DialogOptionSelected,$option == vulp_interrogationHubWhatAreYou,"$askedWhatAreYou = true 0
SetVulpoidExpression default
FireAll VulpInterrogationHubOptions","""Well that depends - is that a singular 'you', or plural?"" she shrugs.

""If you're talking about everyone aboard the Rellrait, then we're called Vulpoids. Me, specifically though, I'm a special kind called a Profecto Vulpoid.""",,,
vulp_interrogationHubVulpoids,DialogOptionSelected,$option == vulp_interrogationHubVulpoids,"$askedVulpoids = true 0
SetVulpoidExpression bruh","""According to the R&D design brief, they're 'useful pets', for wealthy humans to use as maids and such. 'Useful' is a bit of an overstatement in my experience though. You can train them, sure, but the moment something unexpected happens they'll come crying for help.""

She scrunches her nose in frustration. It looks adorable.",vulp_interrogationHubVulpoids1:Continue,,
vulp_interrogationHubVulpoids1,DialogOptionSelected,$option == vulp_interrogationHubVulpoids1,FireAll VulpInterrogationHubOptions,"""To their credit, they really do want to help. It's how they're designed, they're compelled to do chores and follow orders.""

""That, and an have an obsessive adoration for humans. Sometimes I tell them a human gave an order if I need something done fast, but they always get upset when the human doesn't show up.""",,,
vulp_interrogationHubSawAd,DialogOptionSelected,$option == vulp_interrogationHubSawAd,"$askedSawAd = true 0
SetVulpoidExpression default","""Oh, those old things! I haven't checked on them in ages, I almost thought the data would have rotted out of the cores by now.""

""Yeah, it was me though. Pretty extravagent designs, but tastes in the core are so eclectic that it takes boldness to grab their attention.""",vulp_interrogationHubSawAd1:Continue,,
vulp_interrogationHubSawAd1,DialogOptionSelected,$option == vulp_interrogationHubSawAd1,"SetVulpoidExpression bruh
FireAll VulpInterrogationHubOptions","""Speaking of bold, they decided to go with practical effects. Which was fine, except they also wanted that whole 'primordial soup' motif.""

""I was brushing bits of pink goo out of my fur for days after the shoot.""",,,
vulp_interrogationHubProfecto,DialogOptionSelected,$option == vulp_interrogationHubProfecto,"$askedProfecto = true 0
SetVulpoidExpression default
FireAll VulpInterrogationHubOptions","She perks up at this question, excited for a chance to puff herself up.

""Well, frankly we're Vulpoids in body only. Our minds are much more sophisticated, the result of runaway neural growth when the cognitive regressors break down during gestation. The end result, if we survive, is a high-density neural network that can outperform beta-level AI cores on several cognitive benchmark tests!""

""Anyway, the researchers could never pin down what made it survivable. I suggested charisma, but they didn't like how high I ranked on the metric I proposed. So we've stayed as an experimental side-product for an experimental product.""",,,
vulp_interrogationHubHelpful,DialogOptionSelected,$option == vulp_interrogationHubHelpful,"$askedHelpful = true 0
SetVulpoidExpression blush
UpdateMemory
FireAll VulpInterrogationHubHelpfulHubOptions","She flushes hard, and avoids eye contact.

""No! Well, technically yes. But unlike the dummies, I can recognize that the feelings are artificial. I'm more than capable of overcoming my baser instincts,"" she lies.",,,
vulp_interrogationHubHelpfulNowOption,VulpInterrogationHubHelpfulHubOptions,!$askedHelpfulNow,,,"vulp_interrogationHubHelpfulNow:""You're being fairly helpful right now.""",,
vulp_interrogationHubHelpfulDislikeOption,VulpInterrogationHubHelpfulHubOptions,!$askedHelpfulDislike,,,"vulp_interrogationHubHelpfulDislike:""So, you don't like humans?""",,
vulp_interrogationHubHelpfulLikeYouOption,VulpInterrogationHubHelpfulHubOptions,!$askedHelpfulLikeYou,,,"vulp_interrogationHubHelpfulLikeYou:""If it helps, I like you.""",,
vulp_interrogationHubHelpfulEndOption,VulpInterrogationHubHelpfulHubOptions,,,,"vulp_interrogationHubHelpfulEnd:""Let's change the subject.""",,
vulp_interrogationHubHelpfulNow_likesYou,DialogOptionSelected,"$option == vulp_interrogationHubHelpfulNow
$rel >= -0.01","$askedHelpfulNow = true 0
SetVulpoidExpression blush
FireAll VulpInterrogationHubHelpfulHubOptions","""Of course I'm cooperating, this is an interrogation! I don't need to like you to answer your questions!"" she defends.

A compelling argument, undermined by her blush and fidgeting tail.",,,
vulp_interrogationHubHelpfulNow_doesntLikeYou,DialogOptionSelected,"$option == vulp_interrogationHubHelpfulNow
$rel < -0.01","$askedHelpfulNow = true 0
SetVulpoidExpression angry
FireAll VulpInterrogationHubHelpfulHubOptions","""You're a crazy space pirate who blew up my home and threw me in jail, of course I'm being cooperative!"" she retorts.

A compelling argument.",,,
vulp_interrogationHubHelpfulDislike,DialogOptionSelected,$option == vulp_interrogationHubHelpfulDislike,"$askedHelpfulDislike = true 0
SetVulpoidExpression bruh
FireAll VulpInterrogationHubHelpfulHubFluffyBlurb
FireAll VulpInterrogationHubHelpfulHubOptions","""No, it's... more complicated than that. Hm. What's a way to present this that's simple enough for a human to understand...?""

""For me, interacting with humans is like eating unhealthy food. My body enjoys it because of an instinct, meant for an animal intellect. But I'm intelligent enough to recognize that my instincts are flawed. And with willpower, I can overcome them.""",,,
vulp_interrogationHubHelpfulDislike_fluffy,VulpInterrogationHubHelpfulHubFluffyBlurb,$saidFluffy2,SetVulpoidExpression angry,"""Unlike you, apparently.""

Apparently 'Fluffy' hasn't forgotten your earlier comments.",,,
vulp_interrogationHubHelpfulDislike_notfluffy,VulpInterrogationHubHelpfulHubFluffyBlurb,"!$saidFluffy2
$rel >= -0.01",,Said willpower seems to include sitting on her tail so it can't wag. Not that she's had much success with that.,,,
vulp_interrogationHubHelpfulLikeYou,DialogOptionSelected,$option == vulp_interrogationHubHelpfulLikeYou,"$askedHelpfulLikeYou = true 0
SetVulpoidExpression blush
AdjustRepActivePerson COOPERATIVE 5
UpdateMemory
FireAll VulpInterrogationHubHelpfulHubOptions","She blushes strongly at this. Vulpoids must be intentionally designed to blush through their fur.

""W-well, it's only natural that you would. Really, what's not to like? Intelligent, attractive, all the things your silly little human brain loves.""",,,
vulp_interrogationHubHelpfulEnd,DialogOptionSelected,$option == vulp_interrogationHubHelpfulEnd,"FireAll VulpInterrogationHubOptions
SetVulpoidExpression default",,,,
,,,,,,,
vulp_interrogationHubFemale,DialogOptionSelected,$option == vulp_interrogationHubFemale,"$askedFemale = true 0
SetVulpoidExpression default","""Why do you ask? Did your expert eye for biology spot some subtleties in our fur patterns? Or perhaps the width of our skulls?"" She asks sarcastically.

""Or were you referring to my adipose tissue? Which end, thorax or posterior?""

She wiggles her chest and hips as she says this, in a mocking imitation of more provocative gestures.",vulp_interrogationHubFemale1:Continue,,
vulp_interrogationHubFemale1,DialogOptionSelected,$option == vulp_interrogationHubFemale1,FireAll VulpInterrogationHubPrettyHubOptions,"""To give you a real answer, we're monosex because it makes bioengineering easier. We're still in development, so sexual differentiation was one less thing they wanted to deal with.""

""As for being female? Well, there's statistically longer life expectancy, differences in hormonal expression... But for the real reason, just ask marketing.""",,,
vulp_interrogationHubFemalePrettyOption,VulpInterrogationHubPrettyHubOptions,,,,"vulp_interrogationHubFemalePretty:""You do look pretty.""",,
vulp_interrogationHubFemaleNotPrettyOption,VulpInterrogationHubPrettyHubOptions,,,,"vulp_interrogationHubFemaleNotPretty:""I don't see the appeal.""",,
vulp_interrogationHubFemaleMoveOnOption,VulpInterrogationHubPrettyHubOptions,,,,vulp_interrogationHubFemaleMoveOn:Move on,,
vulp_interrogationHubFemalePretty,DialogOptionSelected,$option == vulp_interrogationHubFemalePretty,"AdjustRepActivePerson COOPERATIVE 5
SetVulpoidExpression blush
FireAll VulpInterrogationHubOptions","""Hehe, thank you!"" she giggles.

""I'll give credit where it's due, the designers did a great job with us!""",,,
vulp_interrogationHubFemaleNotPretty,DialogOptionSelected,$option == vulp_interrogationHubFemaleNotPretty,"SetVulpoidExpression cry
FireAll VulpInterrogationHubOptions","She takes this much worse than expected, looking almost completely crushed.

""Oh... okay. I guess everyone's different. Sorry for assuming...""

""Let's just move on.""",,,
vulp_interrogationHubFemaleMoveOn,DialogOptionSelected,$option == vulp_interrogationHubFemaleMoveOn,FireAll VulpInterrogationHubOptions,,,,
vulp_interrogationHubShip,DialogOptionSelected,$option == vulp_interrogationHubShip,"$askedShip = true 0
SetVulpoidExpression default","""Ah, never seen a hull like this? We got an early model on lease from Tri-Tachyon, along with that Space Defense System that you blew up.""

""It's a Citadel-class, meant for ultra-rich folks who live deep enough in the Orion arm that not even money can buy land on planets. Next-gen automation systems mean we need a fraction of the crew, thank goodness. Even with my tutelage the dummies are barely half as capable as a trained spacer.""",vulp_interrogationHubShip1:Continue,,
vulp_interrogationHubShip1,DialogOptionSelected,$option == vulp_interrogationHubShip1,FireAll VulpInterrogationHubOptions,"""Now, the official story says that Exodyne was considering options for deep-space research platforms, then came across the Citadel and struck a deal with Tri-Tachyon.""

""Personally I suspect it happened the other way around - some executive saw the big shiny ship and needed to come up with a reason to buy one. Either way though, that's why we're not on a more traditional station.""",,,
vulp_interrogationHubResearch,DialogOptionSelected,$option == vulp_interrogationHubResearch,"$askedResearch = true 0
SetVulpoidExpression default
FireAll VulpInterrogationHubOptions","She points at herself and makes a silly face. ""Me! Or, us, rather. Back earlier in our development someone leaked a bunch of documents to the public. Caused a big controversy, the idea of creating a, quote, 'slave species'.""

She has a sarcastic tone saying that, as though she disagrees with the idea.

""Anyway, there's not actually laws against that, but there are regulations for AI development. The Domain dealt with it by starting an inquiry into whether dumb Vulpoids met the threshold for gamma classification, and Exodyne decided it'd be cheaper to move the labs into less-regulated space until it was resolved.""",,,
vulp_interrogationHubSlave,DialogOptionSelected,$option == vulp_interrogationHubSlave,"$askedSlave = true 0
SetVulpoidExpression bruh
FireAll VulpInterrogationHubOptions","She rolls her eyes.

""Yeah, because the dummies aren't slaves. Literally! By definition a slave is someone who's *forced* to work, and they never need to be forced.""

""I get where people are coming from, but I really don't see an ethical dilemma with the dummies. People are just assuming they want the same things as a person would. But what they want more than anything else is to work for humans. Forcing them to be 'free' would make them miserable.""",,,
vulp_interrogationHubYouSlave,DialogOptionSelected,$option == vulp_interrogationHubYouSlave,"$askedYouSlave = true 0
SetVulpoidExpression bruh
FireAll VulpInterrogationHubOptions","""Okay, but I'm not an individual, not a species. Profectos are a rare variation of Vulpoid, not a whole different thing. So we're not a slave species, it's just me that's enslaved.""",,,
vulp_interrogationHubAbandoned,DialogOptionSelected,$option == vulp_interrogationHubAbandoned,"$askedAbandoned = true 0
SetVulpoidExpression default
FireAll VulpInterrogationHubOptions","""They left,"" she says innocently, as though this fully answers your question.

""Well in case you forgot what was on that datapad you gave me, the apocalypse happened. We thought it would be temporary, but the local executive branch wanted everyone to regroup on Tartessus. The scientists refused to let the ship go, jumping to hyperspace would wreck the experiments.""

""So they told me I was in charge, that they'd be right back, and then left. After a few decades went by I figured they'd gotten lost in a hyperspace storm and never made it back. Leaving would make me a rogue AI, so I stuck around and waited to be rediscovered by someone.""",,,
vulp_interrogationHubAge,DialogOptionSelected,$option == vulp_interrogationHubAge,"$askedAge = true 0
SetVulpoidExpression default","""Heard of cryosleep?"" she jokes, ""But nah, we were designed to be sold to affluent humans. Folks who don't appreciate the essential truths of reality, like death and taxes. Not much Exodyne could do about the latter, goodness knows they tried, but the former? Easy fix.""

""Vulpoids don't age. I'm more than 200 cycles old, in living time.""

She fixes you with a stare, eager for your reaction.","vulp_interrogationHubAgeIncredible:""That's incredible.""
vulp_interrogationHubAgeSensible:""A reasonable idea.""
vulp_interrogationHubAgeSpiritual:""But doesn't death give life its meaning?""
vulp_interrogationHubAgeDismiss:Just move on",,
vulp_interrogationHubAgeIncredible,DialogOptionSelected,$option == vulp_interrogationHubAgeIncredible,"AdjustRepActivePerson COOPERATIVE 5
FireAll VulpInterrogationHubOptions","""Yep, it's pretty great! It's life without a 'dead'-line, I don't have to stress about wasting a finite amount of time, I can just kick up my paws and relax whenever I feel like it, for as long as I feel like it.""

She pauses for a second.

""Correction: I can relax until some dummy comes crying at my door that something broke and they don't remember how to fix it.""",,,
vulp_interrogationHubAgeSensible,DialogOptionSelected,$option == vulp_interrogationHubAgeSensible,FireAll VulpInterrogationHubOptions,"""Yeah, it just makes sense, right? Plus, not every aristocrat is completely heartless, so their pet not dying before them is a pretty strong perk over the usual options.""

""...I've wondered how the standard Vulpoids would react to their master dying. They're pretty empty-headed, but they're also big-hearted. Not sure which way the scale would tip.""",,,
vulp_interrogationHubAgeSpiritual,DialogOptionSelected,$option == vulp_interrogationHubAgeSpiritual,"FireAll VulpInterrogationHubOptions
SetVulpoidExpression bruh","She gives you a side-eye.

""That sounds like something that someone who ages to death would say. Couldn't be me.""",,,
vulp_interrogationHubAgeDismiss,DialogOptionSelected,$option == vulp_interrogationHubAgeDismiss,"FireAll VulpInterrogationHubOptions
SetVulpoidExpression bruh","She looks a little disappointed at the non-response, but doesn't push the subject.",,,
,,,,,,,
vulp_interrogationWrapup,DialogOptionSelected,$option == vulp_interrogationWrapup,"SetVulpoidExpression default
UpdateMemory","""Sure. Actually, I've got a question for you now.""

""...Why are you here?""","vulp_interrogationWrapupScientist:""An Exodyne scientist told me there was advanced technology out here.""
vulp_interrogationWrapupClassified:""I'm not going to tell you that.""
vulp_interrogationWrapupPhilisophical:""Like, philosophically?""",,
vulp_interrogationWrapupClassified,DialogOptionSelected,$option == vulp_interrogationWrapupClassified,"SetVulpoidExpression angry
AdjustRepActivePerson VENGEFUL -1","""You do realize part two of my question would be 'how can I help', right?"" she scowls. ""And that I'm the one with the override codes?""","vulp_interrogationWrapupScientist:""An Exodyne scientist told me there was advanced technology out here.""",,
vulp_interrogationWrapupPhilisophical_likesyou,DialogOptionSelected,"$option == vulp_interrogationWrapupPhilisophical
$rel >= -0.01",,"""No, not not like that!"" she laughs.

""Why did you fly a $shipOrFleet into the middle of nowhere?""","vulp_interrogationWrapupScientist:""An Exodyne scientist told me there was advanced technology out here.""",,
vulp_interrogationWrapupPhilisophical_doesntlikeyou,DialogOptionSelected,"$option == vulp_interrogationWrapupPhilisophical
$rel < -0.01",SetVulpoidExpression bruh,"""No, not like that,"" she rolls her eyes.

""Why did you fly a $shipOrFleet into the middle of nowhere?""","vulp_interrogationWrapupScientist:""An Exodyne scientist told me there was advanced technology out here.""",,
vulp_interrogationWrapupScientist,DialogOptionSelected,$option == vulp_interrogationWrapupScientist,SetVulpoidExpression bruh,"You explain how you met a scientist who had just woken from a long cryosleep, and didn't have long to live. How he wanted to pass on the location of the Rellrait so that someone would recover his life's work.

She nods along as you explain what happened, asking a few questions about his description.

""I remember him,"" she says almost wistfully, ""I'd figured he was dead by now. I guess now I'm actually right.""",vulp_interrogationWrapupScientist1:Continue,,
vulp_interrogationWrapupScientist1,DialogOptionSelected,$option == vulp_interrogationWrapupScientist1,,"She sighs, ""He was nice to me. Partly because I was important to the research, to be sure, but he really did care.""

""I guess I do owe him one. If he wanted you to have it, then I'll give it to you.""","vulp_interrogationWrapupScientist2:""It?""",,
vulp_interrogationWrapupScientist2,DialogOptionSelected,$option == vulp_interrogationWrapupScientist2,"SetVulpoidExpression default
SetTextHighlights ""Vulpoid Bioforge""","
""The Vulpoid Bioforge.""",vulp_interrogationWrapupScientist3:Continue,,
vulp_interrogationWrapupScientist3,DialogOptionSelected,$option == vulp_interrogationWrapupScientist3,,"""It's a customized bioforge specifically tailored to print Vulpoids. Cellular nanoassembly and gestation pods based on a precisely-designed schematic. The pride of Exodyne's bioscience division.""

""A lot of people spent a large part of their lives developing us. It would be a shame for it to go to waste, and I suppose I do now have authorization from a human. For all that it matters without the Domain.""

""Here, these are the codes to release the anti-tamper system.""",vulp_interrogationWrapupScientist4:Continue,,
vulp_interrogationWrapupScientist4,DialogOptionSelected,$option == vulp_interrogationWrapupScientist4,"SetTextHighlights ""biofacility""","She inputs a sequence on the datapad you gave her, and you save a copy. Assuming they work, those codes will allow you to retrieve the core of the bioforge from the Rellrait and install it into an industrial facility.

""You'll also want to grab the components from a couple plants and labs. There should be enough parts to build at least one proper biofacility, it'll be a real step up from the current-day organ farms.""",vulp_interrogationWrapupScientist5:Continue,,
vulp_interrogationWrapupScientist5,DialogOptionSelected,$option == vulp_interrogationWrapupScientist5,UpdateMemory,"""As for the dummies, do whatever with them. You're a human, they'll be glad to do anything you say.""

""Do try to give them plenty of work though, they get upset if they can't be useful. I usually had them turn on the showers and mop if we ever ran out of things to do.""","vulp_interrogationWhatAboutYou:""And what about you?""",,
,,,,,,,
# Mean ending,,,,,,,
vulp_interrogationMeanEnd,DialogOptionSelected,"$option == vulp_interrogationWhatAboutYou
$rel < -0.39",SetVulpoidExpression bruh,"""Not sure. Might tour the Core Worlds. Maybe spend some time exploring the fringe. I'm a 'dangerous AI' anyway, doesn't matter if I go rogue. It'll just be good to do something new.""","vulp_interrogationMeanEnd_stayWithOthers:""You're not going to stay with the other Vulpoids?""
vulp_interrogationMeanEnd_allowLeave:""If that's what you want, I'll inform the purser.""
vulp_interrogationMeanEnd_forceStay:""I'd like you to stay with the $shipOrFleet.""",,
vulp_interrogationMeanEnd_stayWithOthers,DialogOptionSelected,$option == vulp_interrogationMeanEnd_stayWithOthers,SetVulpoidExpression default,"""Nah. They've got you humans now, they'll forget about me the second someone asks them for a sandwich.""

""I'll probably miss the little dummies a bit, but it'll be nice to not be responsible for them any more.""","vulp_interrogationMeanEnd_allowLeave:""In that case, I'll inform the purser.""
vulp_interrogationMeanEnd_forceStay:""I think it would be better if you stayed.""",,
vulp_interrogationMeanEnd_allowLeave,DialogOptionSelected,$option == vulp_interrogationMeanEnd_allowLeave,SetVulpoidExpression default,"""I suppose I do owe you some thanks. I would have waited a lot longer if you hadn't come to shake things up.""

""Who knows, maybe we'll run into each other again on better terms.""",vulp_interrogationMeanEnd_allowLeave1:Exit the brig,,
vulp_interrogationMeanEnd_allowLeave1,DialogOptionSelected,$option == vulp_interrogationMeanEnd_allowLeave1,"HideFirstPerson
$global.laisaAdventuring = true",You leave the brig and ping your purser to arrange for her disembarkation at the next port.,vulp_interrogationLeave:Continue,,
vulp_interrogationMeanEnd_forceStay,DialogOptionSelected,$option == vulp_interrogationMeanEnd_forceStay,"SetVulpoidExpression angry
AdjustRepActivePerson VENGEFUL -10","Her face twists into a scowl. ""No. I will not be staying with someone who's been nothing but rude and belittling to me.""

""Unlike my counterparts, I have the ability to refuse. And I'm using it right now. I'm not going to be your slave.""","vulp_interrogationMeanEnd_allowLeave1:""Alright, I'll inform the purser.""
vulp_interrogationMeanEnd_commitForceStay:""In that case, you won't be leaving this cell.""
vulp_interrogationMeanEnd_commitForceStay1:""Whether you want to or not, you will be working for me.""",,
vulp_interrogationMeanEnd_commitForceStay,DialogOptionSelected,$option == vulp_interrogationMeanEnd_commitForceStay,"$option = vulp_interrogationMeanEnd_commitForceStay1
FireBest DialogOptionSelected",,,,
vulp_interrogationMeanEnd_commitForceStay1,DialogOptionSelected,$option == vulp_interrogationMeanEnd_commitForceStay1,AdjustRepActivePerson VENGEFUL -1000,"She stares wordlessly into your eyes, waiting to see if you flinch. You don't, and you see her searching gaze shift into blank resolve.

""I'm sure my little sisters will love you.""

She doesn't speak again. With the interrogation over, you make your way out of the brig.",vulp_interrogationMeanEnd_badEnd:Continue,,
vulp_interrogationMeanEnd_badEnd,DialogOptionSelected,$option == vulp_interrogationMeanEnd_badEnd,HideFirstPerson,You haven't yet made it back to the bridge when your TriPad pings with a priority notification.,vulp_interrogationMeanEnd_badEnd1:Continue,,
vulp_interrogationMeanEnd_badEnd1,DialogOptionSelected,$option == vulp_interrogationMeanEnd_badEnd1,ShowImageVisual laisa_death,"The medical team is already bagging her by the time you return.

Your science officer is consulting with the medics, and believes she deliberately triggered a genetically-encoded safety mechanism.

Regardless of the specifics, the result lies in front of you.",vulp_interrogationLeave:Leave,,
,,,,,,,
# Neutral Ending,,,,,,,
vulp_interrogationNeutralEnd,DialogOptionSelected,$option == vulp_interrogationWhatAboutYou,SetVulpoidExpression default,"""Well I guess that's up to you. I think my 200 cycles of service have demonstrated my responsibility, if you want to stick me in charge of something. Otherwise, not sure.""","vulp_interrogationNeutralEnd_stay:""In that case, welcome aboard.""
vulp_interrogationNeutralEnd_explore:""Why not explore the Sector?""
vulp_interrogationNeutralEnd_sleep:""Cryosleep might be more appropriate.""",,
vulp_interrogationNeutralEnd_stay,DialogOptionSelected,$option == vulp_interrogationNeutralEnd_stay,"SetVulpoidExpression default
AdjustRepActivePerson COOPERATIVE 5","""Thank you, $playerSirOrMadam. I assure you, you won't be disappointed.""

As you're leaving the brig, you send a message to your quartermaster to inform them of the new crew appointment.",vulp_interrogationLeaveAndAddEmbarked:Continue,,
vulp_interrogationNeutralEnd_explore,DialogOptionSelected,$option == vulp_interrogationNeutralEnd_explore,SetVulpoidExpression bruh,"""It's not that I haven't considered it, but how much of the Sector could I realistically visit?"" She taps the current affairs datapad.

""Hegemony, Church, and Path, I'm an abomination. Diktat, Tri-Tachyon, and pirate, I'm property. Which leaves League and independent, but they've got a lot of the same problems on a per-planet basis.""

""I guess I could keep a suit on. Stay mostly on ships. Maybe explore the fringe.""","vulp_interrogationNeutralEnd_stay:""You'll have a place on this $shipOrFleet, then.""
vulp_interrogationNeutralEnd_explore1:""It might be good for you, to burn your own course.""
vulp_interrogationNeutralEnd_sleep:""I'd need to keep you in cryosleep for the time being.""",,
vulp_interrogationNeutralEnd_explore1,DialogOptionSelected,$option == vulp_interrogationNeutralEnd_explore1,"SetVulpoidExpression default
AdjustRepActivePerson COOPERATIVE 5
$global.laisaAdventuring = true","""You know what, you're right! I've spent over 200 cycles following orders, it's time I got to do something for myself!""

""Take care of the dummies, okay? If they happen to realize I'm gone, just tell them to make a sandwich or something, they'll forget right away.""

You assure her you'll make accommodations with your purser, and leave the brig. ",vulp_interrogationLeave:Continue,,
